ENTREZID,stat
3567,0.436931446
5175,0.431205196
60676,0.429499773
1457,0.419992801
81494,0.417266568
115761,0.41602755
7180,0.414255743
3558,0.40893858
131450,0.405375824
9097,0.397579587
55553,0.393008003
9201,0.392402124
2932,0.385119195
5869,0.38106429
5728,0.371865755
4215,0.363144301
51083,0.362087277
3698,0.359425496
2773,0.358213448
9049,0.346793025
632,0.345873611
729,0.344861921
338,0.344527423
84295,0.342910742
2026,0.342577654
4361,0.342383431
52,0.339455321
27101,0.333347686
23753,0.332109972
5300,0.326391208
7802,0.321579167
7148,0.316925925
10797,0.314576464
84959,0.310979444
6198,0.307356148
1369,0.299953628
9686,0.298500931
7941,0.296056842
3949,0.294047012
8991,0.293744241
4968,0.29167152
64478,0.283307468
55308,0.277712171
9394,0.271933297
64115,0.270906545
3566,0.25078837
871,0.24675969
10000,0.244379075
26258,0.244273076
2264,0.242518236
51534,0.24116017
115650,0.23956128
5589,0.23797231
5879,0.22974361
5295,0.228651391
84444,0.228515435
56648,0.2278223
4087,0.227821098
161,0.215368751
6320,0.210531897
9807,0.209938016
11148,0.205672072
51115,0.203840653
5315,0.203158438
51206,0.202087366
1933,0.201262732
81693,0.194651639
717,0.190436198
11096,0.189547692
7936,0.18796807
22978,0.185899624
134265,0.185561822
220388,0.182970882
2253,0.17892043
5770,0.178689078
3659,0.173096127
8894,0.172011836
637,0.165078951
8792,0.161657946
1984,0.161059647
89780,0.161026983
6817,0.160799589
5352,0.160572565
27429,0.160221819
11165,0.155327905
353514,0.148847144
5972,0.148399626
59067,0.146264933
53832,0.14599596
3717,0.142001265
7316,0.141885546
29934,0.140914049
64215,0.138734976
27180,0.138726189
55233,0.131336506
7045,0.130609875
11344,0.12650885
84868,0.122698296
3300,0.121355439
4478,0.115934383
9378,0.111227784
92597,0.110963555
2934,0.109640213
2548,0.106926388
145482,0.105561843
3426,0.103222626
1398,0.101191397
5579,0.09660513
249,0.095869663
467,0.09154696
54205,0.087000241
79258,0.086708204
